NO  IND  ACTUAL  PRED
290  290  20  17.50637
291  291  173  133.372
292  292  2  5.61417
293  293  214  141.022
294  294  32  50.18434
295  295  50  54.88039
296  296  25  17.62357
297  297  77  86.77103
298  298  48  42.00752
299  299  13  29.35363
300  300  26  33.64345
301  301  13  32.98861
302  302  87  82.51905
303  303  15  28.64667
304  304  62  68.39526
305  305  30  33.28113
306  306  12  9.84303
307  307  9  18.88419
308  308  147  127.3743
309  309  87  57.30404
310  310  10  10.93356
311  311  72  88.44318
312  312  198  147.69308
313  313  12  14.36437
314  314  14  17.0107
315  315  141  154.19048
316  316  42  61.15647
317  317  96  75.46648
318  318  17  12.8193
319  319  162  160.57395
320  320  5  11.33059
321  321  2  0.84523
322  322  47  31.54291
323  323  181  136.05657
324  324  39  60.78885
325  325  6  4.58047
326  326  43  39.56579
327  327  57  49.70184
328  328  147  96.69501
329  329  8  14.48544
330  330  21  39.08502
331  331  22  34.35539
332  332  34  36.03041
333  333  10  16.00237
334  334  51  72.5228
335  335  44  29.44112
336  336  235  142.83797
337  337  37  61.00258
338  338  192  143.56768
339  339  42  34.90369
340  340  66  72.48892
341  341  49  69.52218
342  342  203  144.97076
343  343  71  82.81449
344  344  10  17.91829
345  345  142  76.58002
346  346  202  191.55638
347  347  170  148.2312
348  348  23  20.56386
349  349  1  2.04071
350  350  36  41.32135
351  351  183  132.81199
352  352  37  33.62759
353  353  12  18.96162
354  354  46  49.83036
355  355  42  40.06039
356  356  82  52.61005
357  357  29  38.35004
358  358  5  10.32713
359  359  165  156.17601
360  360  30  45.77314
361  361  21  47.30764
362  362  17  29.33996
363  363  222  165.97466
364  364  39  79.88878
365  365  86  100.80176
366  366  51  43.8864
367  367  23  66.14813
368  368  100  126.19283
369  369  8  7.04244
370  370  61  65.098
371  371  2  10.15405
372  372  201  161.89765
373  373  2  5.34573
374  374  100  167.29712
375  375  24  36.53077
376  376  207  153.01317
377  377  52  30.33204
378  378  3  2.25932
379  379  58  72.94207
380  380  84  63.14063
381  381  20  34.40984
382  382  50  37.41734
383  383  53  90.01223
384  384  17  28.79312
385  385  44  47.89422
386  386  206  156.52821
387  387  74  89.33884
388  388  24  39.53716
389  389  50  82.30894
390  390  113  88.71029
391  391  14  24.0724
392  392  43  45.84734
393  393  36  27.50379
394  394  4  5.07519
395  395  133  129.62457
396  396  44  35.04863
397  397  46  73.05528
398  398  21  55.30108
399  399  35  32.84249
400  400  40  36.83064
401  401  6  20.1971
402  402  39  38.7364
403  403  36  51.84115
404  404  56  79.10671
405  405  15  17.07493
406  406  173  131.08741
407  407  1  2.42586
408  408  201  137.48186
409  409  32  48.71836
410  410  51  51.17561
411  411  24  18.30641
412  412  72  86.80698
413  413  43  40.75474
414  414  13  29.2469
415  415  17  28.29865
416  416  13  32.00443
417  417  87  80.37656
418  418  15  28.99108
419  419  64  64.92857
420  420  26  32.96659
421  421  13  9.75723
422  422  10  22.58702
423  423  143  127.59313
424  424  84  56.63008
425  425  10  10.1903
426  426  69  88.86012
427  427  204  146.57105
428  428  12  14.26315
429  429  14  16.74882
430  430  142  145.63635
431  431  45  59.76077
432  432  98  75.13508
433  433  17  12.92263
