1789	0.000196158	0	1	0	0	0	16	2.627150099	181.2592589	0	0	1	0	1	1
715	0.000986039	0	0	1	0	0	19	0.774784998	181.6519455	1	0	0	0	1	1
3	0.001016669	0	1	0	0	0	14	1.433024494	183.8115239	1	0	0	0	1	1
131	0.001056737	0	1	0	0	0	18	1.443527202	183.8459816	1	0	0	0	2	1
99	0.001228203	0	1	0	0	0	14	1.601008922	184.3626539	1	0	0	0	1	1
2055	0.001320701	0	1	0	0	0	26	3.343101154	183.6081796	0	0	1	0	2	1
428	0.001335421	0	1	0	0	0.0805	22	0.806560746	181.7561967	1	0	0	0	1	1
130	0.001383132	0	1	0	0	0	18	1.418472274	183.7637804	1	0	0	0	1	1
179	0.001593525	0	1	0	0	0	16	1.300830304	183.377816	1	0	0	0	1	1
2	0.001672221	0	1	0	0	0	15	1.461097764	183.9036278	1	0	0	0	1	1
563	0.00190331	0	1	0	0	0.595	19	1.168079755	182.9422827	1	0	0	0	2	1
1623	0.00210051	0	1	0	0	0	19	3.065427207	182.6971759	0	0	1	0	1	1
39	0.002322829	0	1	0	0	0	16	0.886183862	182.0174274	1	0	0	0	2	1
98	0.002336591	0	1	0	0	0	15	1.615243873	184.4093565	1	0	0	0	1	1
24	0.002568235	0	1	0	0	0	9	1.068600906	182.6159085	1	0	0	0	1	1
56	0.002815412	0	1	0	0	0	30	0.051614103	179.2793376	1	0	0	0	3	1
263	0.00290931	0	0	1	0	0.035	16	1.600216765	184.360055	1	0	0	0	1	1
129	0.003113081	0	1	0	0	0	22	1.165175829	182.9327553	1	0	0	0	1	1
155	0.003203927	0	1	0	0	0	27	1.79096555	184.9858712	1	0	0	0	1	1
38	0.003260986	0	1	0	0	0	18	0.878190832	181.9912035	1	0	0	0	2	1
23	0.004120938	0	1	0	0	0	12	1.090931114	182.6891703	1	0	0	0	1	1
154	0.004239372	0	1	0	0	0	29	1.795086529	184.9993915	1	0	0	0	6	1
11	0.00437584	0	1	0	0	0	13	1.354427939	183.5536612	1	0	0	0	1	1
51	0.004632945	1	1	0	0	0	28	1.099763473	182.7181479	1	0	0	0	1	1
37	0.004904836	0	1	0	0	0	21	0.833713612	181.8452809	1	0	0	0	1	1
1	0.005382071	0	1	0	0	0	25	1.108674406	182.7473832	1	0	0	0	1	1
3776	0.006162693	0	1	0	0	1.59	24	3.276528455	183.4497653	0	0	0	1	3	1
10	0.006318085	0	1	0	0	0	15	1.339237868	183.503825	1	0	0	0	2	1
2706	0.00635454	0	1	0	0	0	44	2.960677055	182.3535074	0	0	1	0	1	1
22	0.006565787	0	1	0	0	0	18	1.073650387	182.632475	1	0	0	0	1	1
280	0.00662896	0	0	0	1	0.1785	23	1.982074381	185.6128687	1	0	0	0	1	1
12	0.00758341	0	1	0	0	0	5	0.972613181	182.3009881	1	0	0	0	1	1
9	0.008703614	0	1	0	0	0	18	1.31380843	183.4203951	1	0	0	0	3	1
249	0.009031045	0	1	0	0	0	29	1.999984289	185.6716282	1	0	0	0	3	1
4	0.00906179	0	1	0	0	0	12	0.607174629	181.1020427	1	0	0	0	1	1
21	0.010344044	0	1	0	0	0	27	1.078798243	182.6493643	1	0	0	0	1	1
8	0.011422966	0	1	0	0	0	23	1.27053033	183.2784066	1	0	0	0	4	1
35	0.01176059	0	1	0	0	0	33	0.752032226	181.5772973	1	0	0	0	2	1
