49	0.126782077	0.082484725	0	0	1	0	0	1	0	0	0	0.0175	29	32	14	23	3.262245374	3.220077964	2.643519639	2.984138532	183.3429048	183.2045602	181.3129647	182.4304807	0	0	1	0	10	1
50	0.12632521	0.083471017	0	0	1	0	0	1	0	0	0	0.0175	28	33	14	24	3.290138493	3.252574806	2.681102589	3.024106082	183.4944176	183.3711772	181.4962683	182.6216079	0	0	0	1	10	1
52	0.274528302	0.125471698	0	0	1	0	0	1	0	0	0	0	29	36	24	21	1.84439508	1.361215786	1.52719818	1.236890604	182.941165	181.3559311	181.9004927	180.94804	0	1	0	0	14	1
53	0.298946716	0.12632521	0	0	1	0	0	1	0	0	0	0	38	39	21	22	3.121199982	3.223588675	2.807775909	2.515321047	182.9401574	183.2760783	181.9118632	180.9523656	0	0	0	1	51	1
55	0.072169811	0.125471698	0	0	1	0	0	1	0	0	0.8015	0	35	34	23	26	1.708115242	1.547819208	0.781438793	1.313332876	182.4940526	181.968147	179.4537756	181.1988349	0	1	0	0	8	1
56	0.083471017	0.12632521	0	0	1	0	0	1	0	0	0.8015	0	36	39	19	25	3.072362568	2.913783881	2.107072095	2.634036493	182.7799297	182.2596584	179.6129662	181.341852	0	0	0	1	44	1
57	0.082484725	0.126782077	0	0	1	0	0	1	0	0	0.8015	0	36	39	19	25	3.013831901	2.838289257	2.078059441	2.577712338	182.5278999	181.9519726	179.4577803	181.0970615	0	0	1	0	45	1
58	0.087047354	0.137534819	0	0	1	0	0	1	0	0	0.8015	0	34	33	27	31	1.053410592	0.680299446	0.194150866	0.630916783	182.5660715	181.3419536	179.7469779	181.179937	1	0	0	0	13	1
59	0.739137814	0.739137814	0	1	1	0	0	0	1	0	0.133	0	36	25	17	16	3.239153012	3.160365954	2.5177547	2.374217123	183.2671424	183.0086547	180.9003501	180.4294263	0	0	1	0	239	1
60	0.720752089	0.720752089	0	1	1	0	0	0	1	0	0.133	0	36	24	16	18	1.60835954	1.431125248	1.01127198	1.119155307	184.3867701	183.8052928	182.4278215	182.7817694	1	0	0	0	80	1
63	0.298946716	0.12632521	0	0	1	0	0	1	0	0	0	0	29	28	15	14	3.270015712	3.290138493	2.903906332	2.681102589	183.428398	183.4944176	182.2272517	181.4962683	0	0	0	1	37	1
64	0.301595384	0.126782077	0	0	1	0	0	1	0	0	0	0	30	29	15	14	3.237448347	3.262245374	2.874461733	2.643519639	183.2615497	183.3429048	182.0706487	181.3129647	0	0	1	0	37	1
65	0.304665738	0.137534819	0	0	1	0	0	1	0	0	0	0	29	31	13	14	1.452810768	1.615243873	0.999690791	1.160903856	183.8764395	184.4093565	182.3898254	182.9187397	1	0	0	0	8	1
67	0.741257056	0.298946716	0	0	1	0	0	1	0	0	0	0	40	38	16	21	2.799577808	3.121199982	2.216130979	2.807775909	181.8849666	182.9401574	179.9707709	181.9118632	0	0	0	1	192	1
70	0.126782077	0.082484725	0	0	1	0	0	1	0	0	0	0.8015	35	36	18	19	3.14663417	3.013831901	2.219276376	2.078059441	182.9636029	182.5278999	179.9210905	179.4577803	0	0	1	0	46	1
74	0.301595384	0.739137814	0	0	1	0	0	1	0	0	0	0.133	37	36	25	17	3.549441262	3.239153012	2.825840248	2.5177547	184.2851485	183.2671424	181.9111294	180.9003501	0	0	1	0	72	1
78	0.739137814	0.301595384	0	0	1	0	0	1	0	0	0	0	29	30	17	15	3.334996867	3.237448347	2.585228269	2.874461733	183.5815908	183.2615497	181.12172	182.0706487	0	0	1	0	48	1
79	0.720752089	0.304665738	0	0	1	0	0	1	0	0	0	0	32	29	16	13	1.585001307	1.452810768	1.082234805	0.999690791	184.3101355	183.8764395	182.6606391	182.3898254	1	0	0	0	12	1
82	0.739137814	0.739137814	0	0	1	0	0	1	0	0	0	0	44	41	18	16	2.914915692	2.803237304	2.091906058	2.226836599	182.2033717	181.8369728	179.5032089	179.9458944	0	0	1	0	209	1
83	0.741257056	0.741257056	0	0	1	0	0	1	0	0	0	0	42	40	18	16	2.889316439	2.799577808	2.085929155	2.216130979	182.1793846	181.8849666	179.5435996	179.9707709	0	0	0	1	203	1
84	0.777830189	0.777830189	0	0	1	0	0	1	0	0	0	0	38	35	14	18	1.454842609	1.477326245	0.81726615	0.932767974	181.6631057	181.7368709	179.5713194	179.9502624	0	1	0	0	65	1
85	0.298946716	0.12632521	0	0	1	0	0	1	0	0	0	0	38	35	20	18	3.374645101	3.184609007	2.597839373	2.266193772	183.7716703	183.1481923	181.2230951	180.1350189	0	0	0	1	71	1
86	0.304665738	0.137534819	0	0	1	0	0	1	0	0	0	0	38	32	13	17	1.49708946	1.204981035	0.594910344	0.252297581	184.0217108	183.0633499	181.0618056	179.937748	1	0	0	0	34	1
89	0.126782077	0.301595384	0	0	1	0	0	1	0	0	0	0	30	37	21	25	2.717647998	3.549441262	2.507156486	2.825840248	181.556168	184.2851485	180.865579	181.9111294	0	0	1	0	10	1
93	0.720752089	0.720752089	0	0	1	0	0	1	0	0	0	0	31	32	12	16	1.185805826	1.585001307	0.98405613	1.082234805	183.0004391	184.3101355	182.3385306	182.6606391	1	0	0	0	38	1
94	0.741257056	0.741257056	0	0	1	0	0	1	0	0	0	0	29	29	9	17	3.215473562	3.367178575	2.910759299	2.616953378	183.2494539	183.7471738	182.2497352	181.285805	0	0	0	1	142	1
95	0.777830189	0.777830189	0	0	1	0	0	1	0	0	0	0	28	24	17	20	1.880430285	2.140983188	1.638462563	1.572183543	183.0593907	183.9142231	182.2655333	182.0480825	0	1	0	0	46	1
97	0.301595384	0.739137814	1	0	1	0	0	1	0	0	0	0	43	44	17	18	2.791691082	2.914915692	1.839987952	2.091906058	181.7990915	182.2033717	178.6767059	179.5032089	0	0	1	0	196	1
98	0.298946716	0.741257056	1	0	1	0	0	1	0	0	0	0	43	42	18	18	2.787175744	2.889316439	1.833835282	2.085929155	181.8442774	182.1793846	178.71652	179.5435996	0	0	0	1	202	1
100	0.739137814	0.301595384	0	0	1	0	0	1	0	0	0	0	36	36	16	20	3.139774193	3.33496574	2.396361559	2.556058007	182.9410964	183.5814886	180.5020786	181.0260171	0	0	1	0	172	1
101	0.720752089	0.304665738	0	0	1	0	0	1	0	0	0	0	40	38	14	13	0.751951746	1.49708946	0.53941181	0.594910344	181.5770333	184.0217108	180.8797238	181.0618056	1	0	0	0	25	1
108	0.298946716	0.741257056	0	0	1	0	0	1	0	0	0	0	19	29	19	9	2.891707755	3.215473562	2.891707755	2.910759299	182.1872302	183.2494539	182.1872302	182.2497352	0	0	0	1	1	1
111	0.125471698	0.274528302	0	1	1	0	0	1	0	0	0	0	40	38	34	24	1.56015993	1.497344147	0.898630318	0.5428106	182.0086349	181.8025464	179.8382622	178.6708747	0	1	0	0	12	1
112	0.126782077	0.301595384	0	1	1	0	0	1	0	0	0	0	44	43	24	17	3.309178138	2.791691082	2.154879241	1.839987952	183.4968837	181.7990915	179.7098138	178.6767059	0	0	1	0	35	1
114	0.720752089	0.720752089	0	0	1	0	0	1	0	0	0	0	39	40	15	14	0.882343035	0.751951746	0.186689448	0.53941181	182.0048262	181.5770333	179.7224982	180.8797238	1	0	0	0	63	1
115	0.741257056	0.741257056	0	0	1	0	0	1	0	0	0	0	37	37	18	16	2.880196778	3.175155925	2.133076769	2.440660146	182.1494645	183.1171782	179.6982834	180.7074152	0	0	0	1	183	1
118	0.125471698	0.072169811	0	0	1	0	0	0	0	1	0	0.854	31	29	20	21	1.551624615	1.840836896	1.423012016	1.235064073	181.9806319	182.9294911	181.5586746	180.9420475	0	1	0	0	18	1
119	0.137534819	0.087047354	0	0	1	0	0	0	0	1	0	0.854	31	32	22	32	1.062063647	0.586585991	0.760347527	0.586585991	182.5944608	181.0344947	181.6045785	181.0344947	1	0	0	0	16	1
122	0.126782077	0.301595384	0	0	1	0	0	1	0	0	0.434	0	29	19	18	19	2.96176822	2.860448543	2.239699326	2.860448543	182.3570873	182.0246737	179.9880949	182.0246737	0	0	1	0	12	1
123	0.137534819	0.304665738	0	0	1	0	0	1	0	0	0.434	0	26	24	17	17	1.18988609	1.443527202	0.565600919	1.024291439	183.0138258	183.8459816	180.9656461	182.4705362	1	0	0	0	5	1
125	0.072169811	0.125471698	0	0	1	0	0	1	0	0	0	0	39	40	28	34	1.998732169	1.56015993	1.200717342	0.898630318	183.4475202	182.0086349	180.8293614	179.8382622	0	1	0	0	15	1
126	0.083471017	0.12632521	0	0	1	0	0	1	0	0	0	0	39	43	22	24	3.307401026	3.306421883	2.457428106	2.144817013	183.5510532	183.5478408	180.7624282	179.7368012	0	0	0	1	46	1
127	0.082484725	0.126782077	0	0	1	0	0	1	0	0	0	0	39	44	22	24	3.310349588	3.309178138	2.46860144	2.154879241	183.500727	183.4968837	180.7390861	179.7098138	0	0	1	0	41	1
128	0.304665738	0.720752089	0	0	1	0	0	1	0	0	0	0	33	39	15	15	1.264433665	0.882343035	0.462072016	0.186689448	183.2584044	182.0048262	180.6259843	179.7224982	1	0	0	0	17	1
129	0.298946716	0.741257056	0	0	1	0	0	1	0	0	0	0	34	37	24	18	3.108480767	2.880196778	2.397825963	2.133076769	182.8984277	182.1494645	180.5668831	179.6982834	0	0	0	1	42	1
132	0.274528302	0.125471698	0	0	1	0	0	1	0	0	1.5645	0	30	31	18	20	1.660348126	1.551624615	1.19614547	1.423012016	182.3373364	181.9806319	180.8143618	181.5586746	0	1	0	0	37	1
136	0.072169811	0.125471698	0	0	1	0	0	1	0	0	0.1155	0.434	32	25	24	21	1.897325276	1.661877936	1.31721466	1.210690857	183.1148205	182.3423554	181.2115704	180.8620829	0	1	0	0	12	1
137	0.082484725	0.126782077	0	0	1	0	0	1	0	0	0.1155	0.434	33	29	17	18	2.993689904	2.96176822	2.446982744	2.239699326	182.4618173	182.3570873	180.6681586	179.9880949	0	0	1	0	29	1
140	0.12632521	0.083471017	0	0	1	0	0	1	0	0	0.78	0	27	39	24	22	2.967573168	3.307401026	2.806887206	2.457428106	182.4361324	183.5510532	181.9089475	180.7624282	0	0	0	1	5	1
144	0.777830189	0.274528302	0	0	1	0	0	1	0	0	0	1.5645	36	30	17	18	1.426577031	1.660348126	0.760689846	1.19614547	181.5703708	182.3373364	179.3857016	180.8143618	0	1	0	0	62	1
145	0.741257056	0.298946716	0	0	1	0	0	1	0	0	0	1.5645	39	37	17	21	2.646965564	2.896008004	2.042910496	2.482401876	181.3842702	182.2013386	179.4024623	180.8443631	0	0	0	1	165	1
148	0.125471698	0.072169811	0	0	1	0	0	1	0	0	0	0.1155	34	32	25	24	2.336270413	1.897325276	1.993988592	1.31721466	184.5549292	183.1148205	183.4319573	181.2115704	0	1	0	0	13	1
149	0.126782077	0.082484725	0	0	1	0	0	1	0	0	0	0.1155	36	33	25	17	3.385541706	2.993689904	2.846769833	2.446982744	183.7474203	182.4618173	181.979796	180.6681586	0	0	1	0	29	1
150	0.12632521	0.083471017	0	0	1	0	0	1	0	0	0	0.1155	36	32	25	16	3.421038144	3.026210815	2.879330802	2.478665826	183.9238784	182.6285132	182.1466234	180.8321057	0	0	0	1	30	1
151	0.137534819	0.087047354	0	0	1	0	0	1	0	0	0	0.1155	33	32	20	16	1.807355634	1.587681309	1.484666634	0.782888198	185.0396445	184.3189282	183.9809535	181.6785308	1	0	0	0	14	1
152	0.298946716	0.12632521	0	0	1	0	0	1	0	0	0.68	0.78	36	27	18	24	3.172956954	2.967573168	2.690474229	2.806887206	183.1099638	182.4361324	181.5270152	181.9089475	0	0	0	1	21	1
