No 	 index 	 actual outputs 			 predictions 
 1 396         1.00000        1.11095 
 2 82         1.00000        1.52699 
 3 100         1.00000        0.57215 
 4 12         2.00000        0.81525 
 5 1         2.00000        3.77908 
 6 190         2.00000        8.11586 
 7 32         3.00000        8.31611 
 8 149         3.00000        4.82611 
 9 8         4.00000        7.18868 
 10 83         4.00000        6.07271 
 11 412         5.00000        3.02425 
 12 6         5.00000        5.81347 
 13 7         9.00000       12.78851 
 14 35         9.00000        2.57768 
 15 37        11.00000       10.19787 
 16 39        12.00000       12.75906 
 17 185        12.00000       13.33591 
 18 336        15.00000       15.22918 
 19 186        15.00000       14.95527 
 20 3        19.00000       14.71961 
 21 33        23.00000       27.64357 
 22 397        24.00000       23.21648 
 23 337        32.00000       28.12178 
 24 282        36.00000       39.96785 
 25 150        36.00000       39.48970 
 26 281        38.00000       42.28609 
 27 411        46.00000       50.13089 
 28 38        59.00000       61.38488 
 29 184        75.00000       78.04565 
 30 40        80.00000       82.81922 
 31 4        91.00000       93.14011 
 32 296       196.00000      199.37016 
 33 295       209.00000      209.88854 
 34 234       239.00000      240.17398 
 35 209         1.00000        1.40218 
 36 85         1.00000        3.59691 
 37 75         1.00000        2.94780 
 38 76         1.00000        3.60056 
 39 283         2.00000        0.98047 
 40 315         2.00000        0.61998 
 41 356         2.00000        2.77745 
 42 24         2.00000        0.15497 
 43 36         2.00000        1.50897 
 44 120         2.00000        5.63850 
 45 68         3.00000        7.22777 
 46 96         3.00000       10.52868 
 47 89         3.00000        9.29139 
 48 304         4.00000        5.11727 
 49 154         4.00000       11.42734 
 50 127         4.00000        4.89701 
 51 121         4.00000       10.31005 
 52 222         5.00000        3.73317 
 53 230         5.00000       13.15861 
 54 48         5.00000        6.88419 
 55 87         5.00000       11.45944 
 56 187         5.00000        4.32057 
 57 203         6.00000        0.20041 
 58 13         6.00000       13.39521 
 59 114         6.00000       13.02250 
 60 180         6.00000        4.69203 
 61 126         6.00000       10.42116 
 62 302         7.00000        5.57288 
 63 49         7.00000       12.91210 
 64 17         7.00000       10.86841 
 65 91         7.00000       10.21579 
 66 204         8.00000       13.36749 
 67 14         8.00000        8.28270 
 68 198         9.00000        6.93609 
 69 27         9.00000       10.81173 
 70 311        10.00000       11.44719 
 71 341        10.00000        4.55573 
 72 349        10.00000       16.96934 
 73 318        10.00000       16.67615 
 74 30        10.00000       12.08487 
 75 63        11.00000       13.86701 
 76 188        11.00000       14.17805 
 77 259        12.00000       16.00949 
 78 227        12.00000       14.64553 
 79 323        12.00000       13.52385 
 80 153        12.00000       18.24619 
 81 178        12.00000       15.17313 
 82 115        12.00000       10.99592 
 83 369        13.00000       25.79910 
 84 196        13.00000       14.12720 
 85 69        13.00000        3.03933 
 86 172        13.00000       18.20990 
 87 106        13.00000       21.75968 
 88 392        14.00000       28.34368 
 89 342        14.00000       14.54280 
 90 31        14.00000       21.61662 
 91 157        14.00000       18.02443 
 92 119        14.00000       10.34565 
 93 110        14.00000        5.73935 
 94 310        15.00000       14.78823 
 95 28        15.00000       19.24586 
 96 21        15.00000       26.90852 
 97 179        15.00000       10.03082 
 98 102        15.00000       25.04131 
 99 44        16.00000       11.22560 
 100 174        16.00000       22.88289 
 101 201        17.00000       13.28823 
 102 217        17.00000       22.94125 
 103 398        17.00000       18.24075 
 104 147        17.00000       13.77105 
 105 279        18.00000       31.04098 
 106 140        18.00000        7.99462 
 107 112        18.00000       18.03415 
 108 139        19.00000       26.45558 
 109 116        19.00000       20.40757 
 110 329        20.00000       26.37986 
 111 56        20.00000       23.70472 
 112 237        21.00000       30.87030 
 113 405        21.00000       31.84785 
 114 305        21.00000       24.54018 
 115 117        21.00000       14.57898 
 116 377        22.00000       28.26168 
 117 58        22.00000       19.52386 
 118 26        22.00000        9.19708 
 119 125        22.00000       14.46336 
 120 355        23.00000       37.29251 
 121 244        23.00000       10.47371 
 122 141        23.00000        8.63402 
 123 357        24.00000       22.56372 
 124 55        24.00000       22.18055 
 125 148        24.00000       23.40970 
 126 72        25.00000       26.86940 
 127 285        26.00000       29.52317 
 128 242        27.00000       40.63707 
 129 51        28.00000       30.78667 
 130 211        29.00000       33.19812 
 131 212        29.00000       24.54628 
 132 59        29.00000       31.70852 
 133 325        30.00000       35.74005 
 134 19        30.00000       34.90214 
 135 170        31.00000       35.85284 
 136 5        32.00000       34.50940 
 137 34        32.00000       31.64246 
 138 346        34.00000       40.64656 
 139 297        35.00000       39.02969 
 140 233        35.00000       38.66087 
 141 410        36.00000       42.33183 
 142 252        36.00000       33.92364 
 143 118        36.00000       45.35332 
 144 351        37.00000       40.86919 
 145 319        37.00000       37.02588 
 146 45        37.00000       38.98083 
 147 16        38.00000       47.24097 
 148 306        39.00000       44.36249 
 149 344        39.00000       47.85356 
 150 365        40.00000       31.38118 
 151 298        41.00000       46.95157 
 152 98        41.00000       50.55182 
 153 270        42.00000       46.64103 
 154 383        42.00000       37.98197 
 155 290        42.00000       55.58930 
 156 145        42.00000       45.00752 
 157 404        43.00000       45.70083 
 158 213        43.00000       46.20950 
 159 390        44.00000       50.41500 
 160 251        44.00000       38.71237 
 161 378        44.00000       50.39031 
 162 265        45.00000       47.68030 
 163 266        46.00000       48.38498 
 164 104        46.00000       46.08323 
 165 403        47.00000       50.63256 
 166 225        48.00000       49.91557 
 167 65        49.00000       55.02489 
 168 195        50.00000       52.63580 
 169 362        50.00000       44.26080 
 170 308        51.00000       51.70938 
 171 406        51.00000       42.91149 
 172 245        51.00000       51.98748 
 173 360        53.00000       56.58258 
 174 276        54.00000       52.57146 
 175 249        55.00000       48.98433 
 176 366        56.00000       61.70197 
 177 144        56.00000       62.23316 
 178 388        58.00000       60.74824 
 179 385        61.00000       63.83031 
 180 286        62.00000       63.96457 
 181 73        63.00000       68.32070 
 182 275        65.00000       69.81264 
 183 348        66.00000       72.71015 
 184 80        67.00000       68.68866 
 185 182        67.00000       75.16375 
 186 61        69.00000       72.06943 
 187 152        71.00000       78.60016 
 188 235        72.00000       75.20414 
 189 175        72.00000       67.78331 
 190 331        74.00000       74.90122 
 191 272        76.00000       79.20126 
 192 54        76.00000       78.32746 
 193 92        77.00000       77.80460 
 194 47        79.00000       79.20205 
 195 239        83.00000       82.32588 
 196 359        84.00000       87.83878 
 197 246        85.00000       86.23483 
 198 258        87.00000       86.52122 
 199 339        87.00000       91.50791 
 200 66        94.00000       97.02541 
 201 260        96.00000      100.61801 
 202 373        98.00000      103.25473 
 203 386       100.00000      100.39869 
 204 124       107.00000      108.37983 
 205 219       115.00000      115.39003 
 206 393       133.00000      132.86364 
