No 	 index 	 actual outputs 			 predictions 
 1 1789         1.00000        0.37609 
 2 715         1.00000        0.43143 
 3 3         1.00000        0.95359 
 4 131         2.00000        1.01131 
 5 99         1.00000        0.98225 
 6 2055         2.00000        2.06571 
 7 428         1.00000        1.01702 
 8 130         1.00000        1.04585 
 9 179         1.00000        1.06668 
 10 2         1.00000        1.03593 
 11 563         2.00000        1.54925 
 12 1623         1.00000        0.73205 
 13 39         2.00000        1.17975 
 14 98         1.00000        1.11053 
 15 24         1.00000        0.69663 
 16 56         3.00000        0.38248 
 17 263         1.00000        0.05250 
 18 129         1.00000        1.15221 
 19 155         1.00000        1.19689 
 20 38         2.00000        1.25734 
 21 23         1.00000        0.98111 
 22 154         6.00000        1.28257 
 23 11         1.00000        1.06950 
 24 51         1.00000        2.06379 
 25 37         1.00000        1.29529 
 26 1         1.00000        1.16396 
 27 3776         3.00000        0.93498 
 28 10         2.00000        1.34521 
 29 2706         1.00000        6.10622 
 30 22         1.00000        1.51290 
 31 280         1.00000        0.32944 
 32 12         1.00000        0.43223 
 33 9         3.00000        1.75586 
 34 249         3.00000        1.68407 
 35 4         1.00000        0.95481 
 36 21         1.00000        1.39968 
 37 8         4.00000        1.95814 
 38 35         2.00000        1.94262 
 39 49         3.00000        1.56041 
 40 2993        24.00000        6.04338 
 41 41         1.00000        0.92877 
 42 48         5.00000        1.68193 
 43 86         1.00000        2.19112 
 44 7         1.00000        2.11161 
 45 5         1.00000        1.74165 
 46 13         1.00000        0.57794 
 47 6         1.00000        2.19998 
 48 46         1.00000        1.75331 
 49 43         2.00000        1.58896 
 50 45         3.00000        1.74487 
 51 44         2.00000        1.66136 
 52 20         1.00000        2.17990 
 53 3742        18.00000       17.48552 
 54 14         1.00000        0.73156 
 55 19         1.00000        2.00538 
 56 32        16.00000       10.37681 
 57 18         1.00000        2.07279 
 58 31         9.00000        9.08203 
 59 756        14.00000        6.43224 
 60 17         1.00000        1.62835 
 61 1882         9.00000       10.85570 
 62 15         3.00000        1.26951 
 63 2532         6.00000        3.78741 
 64 28        10.00000        5.95036 
 65 16         4.00000        1.77310 
 66 991         2.00000        2.10415 
 67 771         1.00000        0.96817 
 68 3020         1.00000        0.97961 
 69 2759         1.00000        0.32825 
 70 1800         1.00000        0.95387 
 71 1538         1.00000        0.33524 
 72 2927         1.00000        0.44046 
 73 1707         1.00000        0.52240 
 74 1928         1.00000        0.53345 
 75 2928         1.00000        0.32853 
 76 961         1.00000        0.03679 
 77 242         1.00000        1.86189 
 78 214         1.00000        0.99863 
 79 3274         2.00000        2.20879 
 80 2887         1.00000        0.56095 
 81 335         1.00000        1.02075 
 82 3579         2.00000        0.99295 
 83 1221         1.00000        0.56291 
 84 1667         1.00000        0.48048 
 85 2360         2.00000        0.85151 
 86 1363         1.00000        1.17743 
 87 520         1.00000        2.47629 
 88 579         1.00000        1.12129 
 89 1172         7.00000        0.91676 
 90 243         2.00000        1.11569 
 91 3331         1.00000        1.26681 
 92 3423         1.00000        1.30715 
 93 626         2.00000        1.12671 
 94 1321         2.00000        1.66382 
 95 3495         2.00000        0.75787 
 96 2110         1.00000        1.49046 
 97 2203         2.00000        1.26437 
 98 3300         1.00000        0.87908 
 99 3638         1.00000        2.23690 
 100 3867         1.00000        2.03175 
 101 2830         2.00000        1.22208 
 102 3834         2.00000        1.78969 
 103 3358         4.00000        2.02363 
 104 3199         3.00000        2.61926 
 105 2473         2.00000        2.23701 
 106 2137         4.00000        2.17951 
 107 1980         3.00000        1.98995 
 108 2079         1.00000        0.95423 
 109 2419         1.00000        0.67653 
 110 2651         1.00000        2.01247 
 111 1608         2.00000        1.47811 
 112 213         2.00000        1.10590 
 113 3189         1.00000        0.93453 
 114 1970         1.00000        0.76546 
 115 1102         1.00000        0.86030 
 116 1187         1.00000        1.19173 
 117 1124         2.00000        1.56751 
 118 3111         1.00000        1.06465 
 119 1081         1.00000        0.74326 
 120 1269         1.00000        1.14716 
 121 980         1.00000        1.13134 
 122 562         1.00000        1.68305 
 123 3494         1.00000        0.99087 
 124 3162         1.00000        1.00599 
 125 3392         5.00000        1.81176 
 126 3637         6.00000        2.26491 
 127 3084         2.00000        2.19283 
 128 3722         3.00000        2.64164 
 129 600         1.00000        1.03917 
 130 334         1.00000        1.13600 
 131 212         1.00000        1.16198 
 132 1891         2.00000        1.44632 
 133 390         1.00000        1.12965 
 134 2078         3.00000        1.49600 
 135 2347         3.00000        2.40347 
 136 1666         1.00000        2.22324 
 137 1864         1.00000        2.51346 
 138 1927         2.00000        2.31927 
 139 2274         1.00000        1.29282 
 140 1943         1.00000        0.62952 
 141 3833         1.00000        2.05912 
 142 3534         2.00000        2.16208 
 143 3618         2.00000        2.19373 
 144 3357         4.00000        2.61337 
 145 3067         4.00000        2.31742 
 146 3198         6.00000        3.17801 
 147 2226         2.00000        2.33571 
 148 2618         1.00000        2.30730 
 149 2472         6.00000        2.60969 
 150 2136         4.00000        2.99232 
 151 1847         4.00000        3.29909 
 152 1979         8.00000        2.95885 
 153 1275         1.00000        1.20562 
 154 1150         4.00000        1.17466 
 155 937         2.00000        1.63766 
 156 578         1.00000        1.29619 
 157 115         1.00000        1.30592 
 158 1288         1.00000        0.86947 
 159 1342         1.00000        1.08998 
 160 871         1.00000        1.02351 
 161 614         1.00000        1.10611 
 162 1501         4.00000        4.20159 
 163 1401         2.00000        1.59710 
 164 1012         6.00000        2.14949 
 165 3200         1.00000        0.96281 
 166 3391         5.00000        2.29371 
